vid	vendorname
0	USB Implementers Forum, Inc (USB-IF) assigned vendor vendor identification (VID) numbers $Revision: 1.1 $ $Date: 2007/08/17 17:55:39 $ See also: http://www.usb.org;
1	Kavi-EVAL
1003	Atmel Corporation
1006	Mitsumi
1008	Hewlett Packard
1012	Diebold, Inc.
1020	Elitegroup Computer Systems
1021	Xilinx Inc.
1024	National Semiconductor
1026	ALi Corporation
1027	Future Technology Devices International Limited
1032	Quanta Computer Inc.
1033	NEC Corporation
1034	Kodak Co.
1035	Weltrend Semiconductor
1037	VIA Technologies, Inc.
1038	MCCI
1041	Buffalo Inc.
1046	Winbond Electronics Corp.
1050	Phoenix Technologies Ltd.
1054	Creative Labs
1057	Nokia Corporation
1060	SMSC
1062	Integrated Device Technology
1068	Innovative Semiconductors, Inc.
1071	Molex Inc.
1074	Unisys Corp.
1080	Advanced Micro Devices
1085	Lexmark International Inc.
1088	EIZO NANAO CORPORATION
1094	NMB Technologies Corporation
1102	Alps Electric Co., Ltd.
1105	Texas Instruments
1110	Analog Devices, Inc.
1111	Silicon Integrated Systems Corp.
1112	KYE Systems Corp. (Mouse Systems)
1115	Renesas Technology Corp.
1118	Microsoft Corporation
1121	Primax Electronics
1123	MGE Office Protection Systems by EATON Power Quality
1128	Wieson Technologies Co., Ltd.
1130	CHERRY GmbH
1131	American Megatrends
1133	Logitech Inc.
1134	Behavior Tech Computer Corporation
1137	Philips Consumer Electronics
1138	Sun Microsystems
1140	Sanyo Electric Co. Ltd.
1149	Kensington
1150	LSI Corporation
1151	Plantronics, Inc.
1154	Kyocera Corporation
1155	STMicroelectronics
1161	Foxconn / Hon Hai
1165	ITE Tech. Inc.
1168	+ United Microelectronic Corporation (UMC)
1177	Yamaha Corporation
1188	Hitachi, Ltd.
1189	+ Benq Corporation
1191	Visioneer
1193	Canon Inc.
1200	Nikon Corporation
1204	Cypress Semiconductor
1205	ROHM Co., Ltd.
1207	Compal Electronics, Inc.
1208	Seiko Epson Corp.
1209	+ SafeNet, Inc.
1211	I-O Data Device, Inc.
1215	TDK Corporation
1221	Fujitsu Ltd.
1227	FUJIFILM Corporation
1228	NXP Semiconductors
1231	Myson Century, Inc.
1236	+ LSI Logic Inc.
1238	Mentor Graphics
1240	Microchip Technology Inc.
1241	Holtek Semiconductor, Inc.
1242	Panasonic (Matsushita)
1244	+ Huan Hsin Holdings Ltd.
1245	Sharp Corporation
1246	MindShare, Inc.
1250	Exar Corporation
1254	SCM Microsystems
1256	Samsung Electronics Co., Ltd.
1259	Northstar Systems Corp.
1260	+ Tokyo Electron Device Limited
1265	Victor Company of Japan, Limited
1266	Chicony Electronics Co., Ltd.
1267	Elan Microelectronics Corportation
1271	Newnex Technology Corp.
1272	FuturePlus Systems
1273	Brother Industries, Ltd.
1276	SUNPLUS TECHNOLOGY CO., LTD.
1278	PFU Limited
1281	Fujikura/DDK
1287	Hosiden Corporation
1293	Belkin Corporation
1300	FCI Electronics
1302	Longwell Electronics/Longwell Company
1305	Star Micronics Co., LTD
1308	Shuttle Inc.
1309	American Power Conversion
1312	Taiwan Semiconductor Manufacturing Co.
1314	ACON, Advanced-Connectek, Inc.
1317	PLX Technology, Inc.
1320	+ ATI Technologies, Inc.
1321	Aladdin Knowledge Systems
1324	Canon Development Americas
1329	Wacom Technology Corp.
1335	Inventec Corporation
1337	Shyh Shiun Terminals Co. LTD
1338	+ Preh KeyTec GmbH
1343	Synopsys, Inc.
1345	Sirf Technology, Inc
1356	Sony Corporation
1360	Fuji Xerox Co., Ltd.
1367	ATEN International Co. Ltd.
1369	Cadence Design Systems, Inc.
1376	Interface Corporation
1386	WACOM Co., Ltd.
1390	Elecom Co., Ltd.
1394	Conexant Systems, Inc.
1395	Zoran Corporation
1398	BAFO/Quality Computer Accessories
1403	Y-E Data, Inc.
1404	AVM GmbH
1410	Roland Corporation
1411	Padix Co., Ltd.
1412	RATOC System Inc.
1419	Infineon Technologies
1421	+ Micrel Semiconductor
1423	Alcor Micro, Corp.
1424	OMRON Corporation
1435	Iomega Corporation
1439	LaCie
1447	Bose Corporation
1449	OmniVision Technologies, Inc.
1452	Apple, Inc.
1453	Y.C. Cable U.S.A., Inc
1466	DigitalPersona, Inc.
1470	Tyco Electronics
1473	Kawasaki Microelectronics, Inc.
1478	Qualcomm, Inc
1480	Foxlink/Cheng Uei Precision Industry Co., Ltd
1482	Ricoh Company Ltd.
1498	Microtek International Inc.
1500	Lexar Media, Inc.
1501	Delta Electronics Inc.
1504	Motorola Symbol Technologies (Symbol Technologies)
1507	Genesys Logic, Inc.
1509	Fuji Electric FA Components & Systems Co.,Ltd.
1513	Kawasaki Microelectronics America, Inc.
1525	Unixtar Technology Inc.
